OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:89, LVL:6
[1] Fighter, ATT:110, DEF:110, HP:78, LVL:8
[2] Bomber, ATT:120, DEF:100, HP:86, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:94, LVL:7
[4] Tank, ATT:65, DEF:100, HP:97, LVL:9
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:8
[6] Helicopter, ATT:55, DEF:40, HP:77, LVL:4
[7] Artillery, ATT:75, DEF:70, HP:99, LVL:9
[8] Cruiser, ATT:100, DEF:75, HP:97, LVL:9
[9] Infantry, ATT:45, DEF:0, HP:58, LVL:4
[10] Artillery, ATT:75, DEF:70, HP:86, LVL:4
[11] Bomber, ATT:120, DEF:100, HP:57, LVL:6
[12] Tank, ATT:65, DEF:100, HP:78, LVL:1
[13] Cruiser, ATT:100, DEF:75, HP:50, LVL:7
[14] Tank, ATT:65, DEF:100, HP:66, LVL:9
[15] Fighter, ATT:110, DEF:110, HP:73, LVL:4
[16] Infantry, ATT:45, DEF:0, HP:66, LVL:0
[17] Bomber, ATT:120, DEF:100, HP:77, LVL:1
[18] Artillery, ATT:75, DEF:70, HP:75, LVL:10
[19] Fighter, ATT:110, DEF:110, HP:67, LVL:8
[20] Bomber, ATT:120, DEF:100, HP:53, LVL:10

Kong => 43 => [13] Cruiser
[0] Fighter => 14 => Kong
[1] Fighter => 34 => Kong
[2] Bomber => 35 => Kong
[3] Bomber => 16 => Kong
[4] Tank => 29 => Kong
[5] Artillery => 20 => Kong
[6] Helicopter => 15 => Kong
[7] Artillery => 33 => Kong
[8] Cruiser => 36 => Kong
[9] Infantry => 18 => Kong
[10] Artillery => 20 => Kong
[11] Bomber => 28 => Kong
[12] Tank => 17 => Kong
[13] Cruiser => 21 => Kong
[14] Tank => 19 => Kong
[15] Fighter => 22 => Kong
[16] Infantry => 11 => Kong
[17] Bomber => 26 => Kong
[18] Artillery => 23 => Kong
[19] Fighter => 32 => Kong
[20] Bomber => 31 => Kong

Kong, ATT:220, DEF:180, HP:0, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:89, LVL:6
[1] Fighter, ATT:110, DEF:110, HP:78, LVL:8
[2] Bomber, ATT:120, DEF:100, HP:86, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:94, LVL:7
[4] Tank, ATT:65, DEF:100, HP:97, LVL:9
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:8
[6] Helicopter, ATT:55, DEF:40, HP:77, LVL:4
[7] Artillery, ATT:75, DEF:70, HP:99, LVL:9
[8] Cruiser, ATT:100, DEF:75, HP:97, LVL:9
[9] Infantry, ATT:45, DEF:0, HP:58, LVL:4
[10] Artillery, ATT:75, DEF:70, HP:86, LVL:4
[11] Bomber, ATT:120, DEF:100, HP:57, LVL:6
[12] Tank, ATT:65, DEF:100, HP:78, LVL:1
[13] Cruiser, ATT:100, DEF:75, HP:7, LVL:7
[14] Tank, ATT:65, DEF:100, HP:66, LVL:9
[15] Fighter, ATT:110, DEF:110, HP:73, LVL:4
[16] Infantry, ATT:45, DEF:0, HP:66, LVL:0
[17] Bomber, ATT:120, DEF:100, HP:77, LVL:1
[18] Artillery, ATT:75, DEF:70, HP:75, LVL:10
[19] Fighter, ATT:110, DEF:110, HP:67, LVL:8
[20] Bomber, ATT:120, DEF:100, HP:53, LVL:10

Winner: Enemy
Total monster DMG: 43
Total enemies DMG: 500
--------------------------------------------------
EXPECTED:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:89, LVL:6
[1] Fighter, ATT:110, DEF:110, HP:78, LVL:8
[2] Bomber, ATT:120, DEF:100, HP:86, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:94, LVL:7
[4] Tank, ATT:65, DEF:100, HP:97, LVL:9
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:8
[6] Helicopter, ATT:55, DEF:40, HP:77, LVL:4
[7] Artillery, ATT:75, DEF:70, HP:99, LVL:9
[8] Cruiser, ATT:100, DEF:75, HP:97, LVL:9
[9] Infantry, ATT:45, DEF:0, HP:58, LVL:4
[10] Artillery, ATT:75, DEF:70, HP:86, LVL:4
[11] Bomber, ATT:120, DEF:100, HP:57, LVL:6
[12] Tank, ATT:65, DEF:100, HP:78, LVL:1
[13] Cruiser, ATT:100, DEF:75, HP:50, LVL:7
[14] Tank, ATT:65, DEF:100, HP:66, LVL:9
[15] Fighter, ATT:110, DEF:110, HP:73, LVL:4
[16] Infantry, ATT:45, DEF:0, HP:66, LVL:0
[17] Bomber, ATT:120, DEF:100, HP:77, LVL:1
[18] Artillery, ATT:75, DEF:70, HP:75, LVL:10
[19] Fighter, ATT:110, DEF:110, HP:67, LVL:8
[20] Bomber, ATT:120, DEF:100, HP:53, LVL:10

Kong => 43 => [13] Cruiser
[0] Fighter => 14 => Kong
[1] Fighter => 34 => Kong
[2] Bomber => 35 => Kong
[3] Bomber => 16 => Kong
[4] Tank => 29 => Kong
[5] Artillery => 20 => Kong
[6] Helicopter => 15 => Kong
[7] Artillery => 33 => Kong
[8] Cruiser => 36 => Kong
[9] Infantry => 18 => Kong
[10] Artillery => 20 => Kong
[11] Bomber => 28 => Kong
[12] Tank => 17 => Kong
[13] Cruiser => 21 => Kong
[14] Tank => 19 => Kong
[15] Fighter => 22 => Kong
[16] Infantry => 11 => Kong
[17] Bomber => 26 => Kong
[18] Artillery => 23 => Kong
[19] Fighter => 32 => Kong
[20] Bomber => 31 => Kong

Kong, ATT:220, DEF:180, HP:0, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:89, LVL:6
[1] Fighter, ATT:110, DEF:110, HP:78, LVL:8
[2] Bomber, ATT:120, DEF:100, HP:86, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:94, LVL:7
[4] Tank, ATT:65, DEF:100, HP:97, LVL:9
