OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Submarine, ATT:105, DEF:65, HP:63, LVL:0
[1] Helicopter, ATT:55, DEF:40, HP:53, LVL:7
[2] Tank, ATT:65, DEF:100, HP:68, LVL:4
[3] Artillery, ATT:75, DEF:70, HP:89, LVL:8
[4] Tank, ATT:65, DEF:100, HP:79, LVL:5
[5] Infantry, ATT:45, DEF:0, HP:67, LVL:7
[6] Fighter, ATT:110, DEF:110, HP:82, LVL:6
[7] Infantry, ATT:45, DEF:0, HP:59, LVL:4
[8] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[9] Helicopter, ATT:55, DEF:40, HP:92, LVL:0
[10] Helicopter, ATT:55, DEF:40, HP:51, LVL:2
[11] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[12] Helicopter, ATT:55, DEF:40, HP:76, LVL:5
[13] Fighter, ATT:110, DEF:110, HP:75, LVL:9
[14] Bomber, ATT:120, DEF:100, HP:50, LVL:5
[15] Artillery, ATT:75, DEF:70, HP:63, LVL:5
[16] Bomber, ATT:120, DEF:100, HP:69, LVL:1
[17] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[18] Tank, ATT:65, DEF:100, HP:92, LVL:3
[19] Bomber, ATT:120, DEF:100, HP:66, LVL:7
[20] Infantry, ATT:45, DEF:0, HP:50, LVL:2
[21] Tank, ATT:65, DEF:100, HP:74, LVL:8
[22] Artillery, ATT:75, DEF:70, HP:59, LVL:9
[23] Cruiser, ATT:100, DEF:75, HP:50, LVL:9
[24] Submarine, ATT:105, DEF:65, HP:92, LVL:4
[25] Fighter, ATT:110, DEF:110, HP:69, LVL:7
[26] Bomber, ATT:120, DEF:100, HP:52, LVL:9
[27] Tank, ATT:65, DEF:100, HP:77, LVL:5
[28] Helicopter, ATT:55, DEF:40, HP:63, LVL:7
[29] Cruiser, ATT:100, DEF:75, HP:75, LVL:0
[30] Bomber, ATT:120, DEF:100, HP:81, LVL:10
[31] Infantry, ATT:45, DEF:0, HP:59, LVL:10
[32] Submarine, ATT:105, DEF:65, HP:59, LVL:2
[33] Submarine, ATT:105, DEF:65, HP:79, LVL:10
[34] Fighter, ATT:110, DEF:110, HP:68, LVL:4
[35] Submarine, ATT:105, DEF:65, HP:55, LVL:6
[36] Helicopter, ATT:55, DEF:40, HP:75, LVL:6
[37] Submarine, ATT:105, DEF:65, HP:81, LVL:6
[38] Cruiser, ATT:100, DEF:75, HP:59, LVL:2
[39] Bomber, ATT:120, DEF:100, HP:97, LVL:0
[40] Artillery, ATT:75, DEF:70, HP:78, LVL:8
