OUTPUT:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:58, LVL:2
[1] Cruiser, ATT:100, DEF:75, HP:85, LVL:5
[2] Cruiser, ATT:100, DEF:75, HP:69, LVL:1
[3] Tank, ATT:65, DEF:100, HP:98, LVL:0
[4] Infantry, ATT:45, DEF:0, HP:54, LVL:6
[5] Artillery, ATT:75, DEF:70, HP:94, LVL:9
[6] Artillery, ATT:75, DEF:70, HP:92, LVL:6
[7] Bomber, ATT:120, DEF:100, HP:73, LVL:9
[8] Infantry, ATT:45, DEF:0, HP:93, LVL:5
[9] Bomber, ATT:120, DEF:100, HP:69, LVL:8
[10] Submarine, ATT:105, DEF:65, HP:83, LVL:7
[11] Submarine, ATT:105, DEF:65, HP:93, LVL:1
[12] Cruiser, ATT:100, DEF:75, HP:64, LVL:2
[13] Bomber, ATT:120, DEF:100, HP:74, LVL:7
[14] Tank, ATT:65, DEF:100, HP:93, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:7
[16] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[17] Fighter, ATT:110, DEF:110, HP:97, LVL:3
[18] Infantry, ATT:45, DEF:0, HP:95, LVL:1
[19] Helicopter, ATT:55, DEF:40, HP:66, LVL:3
[20] Helicopter, ATT:55, DEF:40, HP:72, LVL:10
[21] Fighter, ATT:110, DEF:110, HP:55, LVL:3
[22] Tank, ATT:65, DEF:100, HP:58, LVL:5
[23] Cruiser, ATT:100, DEF:75, HP:52, LVL:5
[24] Fighter, ATT:110, DEF:110, HP:88, LVL:8
[25] Fighter, ATT:110, DEF:110, HP:57, LVL:6
[26] Infantry, ATT:45, DEF:0, HP:78, LVL:0
[27] Artillery, ATT:75, DEF:70, HP:53, LVL:0
[28] Helicopter, ATT:55, DEF:40, HP:50, LVL:3
[29] Cruiser, ATT:100, DEF:75, HP:92, LVL:6
[30] Submarine, ATT:105, DEF:65, HP:91, LVL:6
[31] Bomber, ATT:120, DEF:100, HP:69, LVL:6
[32] Fighter, ATT:110, DEF:110, HP:92, LVL:4
[33] Bomber, ATT:120, DEF:100, HP:86, LVL:8
[34] Tank, ATT:65, DEF:100, HP:56, LVL:5
[35] Fighter, ATT:110, DEF:110, HP:99, LVL:2
[36] Cruiser, ATT:100, DEF:75, HP:91, LVL:7
[37] Artillery, ATT:75, DEF:70, HP:67, LVL:3
[38] Artillery, ATT:75, DEF:70, HP:56, LVL:0
[39] Cruiser, ATT:100, DEF:75, HP:89, LVL:9
[40] Infantry, ATT:45, DEF:0, HP:65, LVL:10
[41] Bomber, ATT:120, DEF:100, HP:97, LVL:10
[42] Infantry, ATT:45, DEF:0, HP:64, LVL:5
[43] Bomber, ATT:120, DEF:100, HP:52, LVL:9
[44] Cruiser, ATT:100, DEF:75, HP:94, LVL:4
[45] Submarine, ATT:105, DEF:65, HP:99, LVL:0
[46] Cruiser, ATT:100, DEF:75, HP:60, LVL:10
[47] Fighter, ATT:110, DEF:110, HP:64, LVL:9
[48] Fighter, ATT:110, DEF:110, HP:95, LVL:5
[49] Fighter, ATT:110, DEF:110, HP:98, LVL:5
[50] Bomber, ATT:120, DEF:100, HP:71, LVL:8
[51] Cruiser, ATT:100, DEF:75, HP:66, LVL:6
[52] Artillery, ATT:75, DEF:70, HP:57, LVL:10
[53] Helicopter, ATT:55, DEF:40, HP:78, LVL:4
[54] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[55] Fighter, ATT:110, DEF:110, HP:50, LVL:9
[56] Tank, ATT:65, DEF:100, HP:94, LVL:2
[57] Infantry, ATT:45, DEF:0, HP:100, LVL:7
[58] Helicopter, ATT:55, DEF:40, HP:81, LVL:4
[59] Submarine, ATT:105, DEF:65, HP:55, LVL:10
[60] Artillery, ATT:75, DEF:70, HP:62, LVL:1
[61] Fighter, ATT:110, DEF:110, HP:66, LVL:4
[62] Infantry, ATT:45, DEF:0, HP:58, LVL:4
[63] Helicopter, ATT:55, DEF:40, HP:53, LVL:9
[64] Helicopter, ATT:55, DEF:40, HP:62, LVL:5
[65] Helicopter, ATT:55, DEF:40, HP:83, LVL:10
[66] Fighter, ATT:110, DEF:110, HP:76, LVL:7
[67] Fighter, ATT:110, DEF:110, HP:61, LVL:9
[68] Fighter, ATT:110, DEF:110, HP:98, LVL:5
[69] Helicopter, ATT:55, DEF:40, HP:52, LVL:10
[70] Artillery, ATT:75, DEF:70, HP:66, LVL:7
[71] Bomber, ATT:120, DEF:100, HP:56, LVL:8
[72] Infantry, ATT:45, DEF:0, HP:93, LVL:9
[73] Bomber, ATT:120, DEF:100, HP:77, LVL:0
[74] Bomber, ATT:120, DEF:100, HP:63, LVL:2
[75] Helicopter, ATT:55, DEF:40, HP:57, LVL:7
[76] Cruiser, ATT:100, DEF:75, HP:79, LVL:5
[77] Submarine, ATT:105, DEF:65, HP:68, LVL:7
[78] Bomber, ATT:120, DEF:100, HP:76, LVL:5
[79] Bomber, ATT:120, DEF:100, HP:61, LVL:5
[80] Helicopter, ATT:55, DEF:40, HP:68, LVL:10
[81] Infantry, ATT:45, DEF:0, HP:87, LVL:4
