OUTPUT:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Tank, ATT:65, DEF:100, HP:74, LVL:9
[1] Tank, ATT:65, DEF:100, HP:81, LVL:5
[2] Bomber, ATT:120, DEF:100, HP:86, LVL:8
[3] Infantry, ATT:45, DEF:0, HP:76, LVL:8
[4] Infantry, ATT:45, DEF:0, HP:90, LVL:6
[5] Helicopter, ATT:55, DEF:40, HP:81, LVL:5
[6] Bomber, ATT:120, DEF:100, HP:72, LVL:10
[7] Submarine, ATT:105, DEF:65, HP:77, LVL:2
[8] Helicopter, ATT:55, DEF:40, HP:92, LVL:9
[9] Fighter, ATT:110, DEF:110, HP:88, LVL:3
[10] Artillery, ATT:75, DEF:70, HP:52, LVL:4
[11] Helicopter, ATT:55, DEF:40, HP:57, LVL:3
[12] Infantry, ATT:45, DEF:0, HP:75, LVL:0
[13] Tank, ATT:65, DEF:100, HP:76, LVL:10
[14] Fighter, ATT:110, DEF:110, HP:57, LVL:0
[15] Submarine, ATT:105, DEF:65, HP:79, LVL:2
[16] Tank, ATT:65, DEF:100, HP:87, LVL:10
[17] Fighter, ATT:110, DEF:110, HP:92, LVL:3
[18] Tank, ATT:65, DEF:100, HP:71, LVL:10
[19] Helicopter, ATT:55, DEF:40, HP:94, LVL:4
[20] Artillery, ATT:75, DEF:70, HP:50, LVL:1
[21] Infantry, ATT:45, DEF:0, HP:80, LVL:5
[22] Infantry, ATT:45, DEF:0, HP:60, LVL:1
[23] Artillery, ATT:75, DEF:70, HP:93, LVL:5
[24] Submarine, ATT:105, DEF:65, HP:86, LVL:3
[25] Helicopter, ATT:55, DEF:40, HP:78, LVL:2
[26] Bomber, ATT:120, DEF:100, HP:84, LVL:10
[27] Helicopter, ATT:55, DEF:40, HP:82, LVL:2
[28] Submarine, ATT:105, DEF:65, HP:88, LVL:4
[29] Artillery, ATT:75, DEF:70, HP:50, LVL:7
[30] Submarine, ATT:105, DEF:65, HP:64, LVL:2
[31] Helicopter, ATT:55, DEF:40, HP:74, LVL:0
[32] Tank, ATT:65, DEF:100, HP:64, LVL:6
[33] Fighter, ATT:110, DEF:110, HP:58, LVL:2
[34] Cruiser, ATT:100, DEF:75, HP:84, LVL:0
[35] Bomber, ATT:120, DEF:100, HP:70, LVL:9
[36] Artillery, ATT:75, DEF:70, HP:67, LVL:5
[37] Helicopter, ATT:55, DEF:40, HP:57, LVL:6
[38] Artillery, ATT:75, DEF:70, HP:88, LVL:6
[39] Tank, ATT:65, DEF:100, HP:91, LVL:6
[40] Artillery, ATT:75, DEF:70, HP:58, LVL:6
[41] Cruiser, ATT:100, DEF:75, HP:94, LVL:1
[42] Helicopter, ATT:55, DEF:40, HP:62, LVL:5
[43] Artillery, ATT:75, DEF:70, HP:81, LVL:1
[44] Helicopter, ATT:55, DEF:40, HP:89, LVL:1
[45] Fighter, ATT:110, DEF:110, HP:70, LVL:5
[46] Infantry, ATT:45, DEF:0, HP:63, LVL:0
[47] Bomber, ATT:120, DEF:100, HP:80, LVL:5
[48] Tank, ATT:65, DEF:100, HP:92, LVL:10
[49] Submarine, ATT:105, DEF:65, HP:94, LVL:2
[50] Helicopter, ATT:55, DEF:40, HP:54, LVL:10
[51] Fighter, ATT:110, DEF:110, HP:79, LVL:7
[52] Fighter, ATT:110, DEF:110, HP:68, LVL:7
[53] Cruiser, ATT:100, DEF:75, HP:69, LVL:0
[54] Artillery, ATT:75, DEF:70, HP:61, LVL:6
[55] Fighter, ATT:110, DEF:110, HP:82, LVL:2
[56] Artillery, ATT:75, DEF:70, HP:95, LVL:7
[57] Fighter, ATT:110, DEF:110, HP:76, LVL:2
[58] Submarine, ATT:105, DEF:65, HP:85, LVL:3
[59] Bomber, ATT:120, DEF:100, HP:83, LVL:1
[60] Artillery, ATT:75, DEF:70, HP:71, LVL:2
[61] Artillery, ATT:75, DEF:70, HP:85, LVL:0
[62] Artillery, ATT:75, DEF:70, HP:99, LVL:0
[63] Tank, ATT:65, DEF:100, HP:91, LVL:7
[64] Submarine, ATT:105, DEF:65, HP:99, LVL:4
[65] Bomber, ATT:120, DEF:100, HP:65, LVL:6
[66] Infantry, ATT:45, DEF:0, HP:77, LVL:1
[67] Infantry, ATT:45, DEF:0, HP:96, LVL:0
[68] Bomber, ATT:120, DEF:100, HP:97, LVL:8
[69] Tank, ATT:65, DEF:100, HP:68, LVL:5
[70] Artillery, ATT:75, DEF:70, HP:55, LVL:6
[71] Infantry, ATT:45, DEF:0, HP:62, LVL:5
[72] Artillery, ATT:75, DEF:70, HP:63, LVL:2
[73] Artillery, ATT:75, DEF:70, HP:56, LVL:2
[74] Helicopter, ATT:55, DEF:40, HP:75, LVL:0
[75] Fighter, ATT:110, DEF:110, HP:90, LVL:7
[76] Infantry, ATT:45, DEF:0, HP:67, LVL:3
[77] Submarine, ATT:105, DEF:65, HP:50, LVL:2
[78] Tank, ATT:65, DEF:100, HP:98, LVL:1
[79] Artillery, ATT:75, DEF:70, HP:61, LVL:1
[80] Helicopter, ATT:55, DEF:40, HP:93, LVL:6
[81] Infantry, ATT:45, DEF:0, HP:54, LVL:6
[82] Infantry, ATT:45, DEF:0, HP:86, LVL:1
[83] Cruiser, ATT:100, DEF:75, HP:82, LVL:1
[84] Infantry, ATT:45, DEF:0, HP:72, LVL:1
[85] Cruiser, ATT:100, DEF:75, HP:51, LVL:7
[86] Tank, ATT:65, DEF:100, HP:98, LVL:1
[87] Bomber, ATT:120, DEF:100, HP:71, LVL:4
[88] Fighter, ATT:110, DEF:110, HP:89, LVL:7
[89] Fighter, ATT:110, DEF:110, HP:74, LVL:6
[90] Infantry, ATT:45, DEF:0, HP:59, LVL:7
[91] Tank, ATT:65, DEF:100, HP:65, LVL:9
[92] Artillery, ATT:75, DEF:70, HP:76, LVL:10
[93] Fighter, ATT:110, DEF:110, HP:73, LVL:7
[94] Fighter, ATT:110, DEF:110, HP:70, LVL:9
[95] Tank, ATT:65, DEF:100, HP:55, LVL:10
[96] Cruiser, ATT:100, DEF:75, HP:100, LVL:0
[97] Artillery, ATT:75, DEF:70, HP:51, LVL:7
[98] Artillery, ATT:75, DEF:70, HP:81, LVL:7
[99] Fighter, ATT:110, DEF:110, HP:69, LVL:5
[100] Artillery, ATT:75, DEF:70, HP:75, LVL:2
[101] Bomber, ATT:120, DEF:100, HP:89, LVL:1
[102] Helicopter, ATT:55, DEF:40, HP:80, LVL:2
[103] Submarine, ATT:105, DEF:65, HP:68, LVL:8
[104] Infantry, ATT:45, DEF:0, HP:89, LVL:10
[105] Bomber, ATT:120, DEF:100, HP:69, LVL:7
[106] Helicopter, ATT:55, DEF:40, HP:73, LVL:1
[107] Submarine, ATT:105, DEF:65, HP:91, LVL:2
[108] Fighter, ATT:110, DEF:110, HP:84, LVL:3
[109] Helicopter, ATT:55, DEF:40, HP:56, LVL:4
[110] Infantry, ATT:45, DEF:0, HP:61, LVL:4
[111] Cruiser, ATT:100, DEF:75, HP:59, LVL:2
[112] Bomber, ATT:120, DEF:100, HP:76, LVL:4
[113] Helicopter, ATT:55, DEF:40, HP:78, LVL:1
[114] Fighter, ATT:110, DEF:110, HP:67, LVL:8
[115] Cruiser, ATT:100, DEF:75, HP:74, LVL:3
[116] Submarine, ATT:105, DEF:65, HP:80, LVL:6
[117] Fighter, ATT:110, DEF:110, HP:99, LVL:2
[118] Infantry, ATT:45, DEF:0, HP:56, LVL:10
[119] Cruiser, ATT:100, DEF:75, HP:67, LVL:3
[120] Helicopter, ATT:55, DEF:40, HP:85, LVL:7
[121] Submarine, ATT:105, DEF:65, HP:54, LVL:1
[122] Bomber, ATT:120, DEF:100, HP:95, LVL:7
[123] Tank, ATT:65, DEF:100, HP:95, LVL:3
[124] Cruiser, ATT:100, DEF:75, HP:65, LVL:2
[125] Tank, ATT:65, DEF:100, HP:94, LVL:2
