OUTPUT:

--------------------------------------------------
EXPECTED:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] CaptainAmerica, ATT:90, DEF:150, HP:80, LVL:5
[1] Superman, ATT:160, DEF:80, HP:61, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:53, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 66 => [4] Superman
[0] CaptainAmerica => 10 => Godzilla
[1] Superman => 26 => Godzilla
[2] Batman => 10 => Godzilla
[3] CaptainAmerica => 9 => Godzilla
[5] CaptainAmerica => 14 => Godzilla

Godzilla, ATT:200, DEF:220, HP:431, LVL:1
[0] CaptainAmerica, ATT:90, DEF:150, HP:80, LVL:5
[1] Superman, ATT:160, DEF:80, HP:61, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 50 => [1] Superman
[0] CaptainAmerica => 24 => Godzilla
[1] Superman => 13 => Godzilla
[2] Batman => 14 => Godzilla
[3] CaptainAmerica => 16 => Godzilla
[5] CaptainAmerica => 14 => Godzilla

Godzilla, ATT:200, DEF:220, HP:350, LVL:2
[0] CaptainAmerica, ATT:90, DEF:150, HP:80, LVL:5
[1] Superman, ATT:160, DEF:80, HP:11, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 56 => [1] Superman
[0] CaptainAmerica => 11 => Godzilla
[2] Batman => 20 => Godzilla
[3] CaptainAmerica => 13 => Godzilla
[5] CaptainAmerica => 11 => Godzilla

Godzilla, ATT:200, DEF:220, HP:295, LVL:3
[0] CaptainAmerica, ATT:90, DEF:150, HP:80, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 45 => [0] CaptainAmerica
[0] CaptainAmerica => 14 => Godzilla
[2] Batman => 18 => Godzilla
[3] CaptainAmerica => 14 => Godzilla
[5] CaptainAmerica => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:236, LVL:4
[0] CaptainAmerica, ATT:90, DEF:150, HP:35, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 46 => [0] CaptainAmerica
[2] Batman => 21 => Godzilla
[3] CaptainAmerica => 15 => Godzilla
[5] CaptainAmerica => 15 => Godzilla

Godzilla, ATT:200, DEF:220, HP:185, LVL:5
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:91, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 44 => [2] Batman
[2] Batman => 16 => Godzilla
[3] CaptainAmerica => 17 => Godzilla
[5] CaptainAmerica => 11 => Godzilla

Godzilla, ATT:200, DEF:220, HP:141, LVL:6
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:47, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 62 => [2] Batman
[3] CaptainAmerica => 15 => Godzilla
[5] CaptainAmerica => 15 => Godzilla

Godzilla, ATT:200, DEF:220, HP:111, LVL:7
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:-15, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:91, LVL:0

Godzilla => 40 => [5] CaptainAmerica
[3] CaptainAmerica => 21 => Godzilla
[5] CaptainAmerica => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:77, LVL:8
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:-15, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:51, LVL:0

Godzilla => 45 => [5] CaptainAmerica
[3] CaptainAmerica => 15 => Godzilla
[5] CaptainAmerica => 12 => Godzilla

Godzilla, ATT:200, DEF:220, HP:50, LVL:9
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:-15, LVL:0
[3] CaptainAmerica, ATT:90, DEF:150, HP:100, LVL:3
[4] Superman, ATT:160, DEF:80, HP:-13, LVL:0
[5] CaptainAmerica, ATT:90, DEF:150, HP:6, LVL:0

Godzilla => 46 => [5] CaptainAmerica
[3] CaptainAmerica => 16 => Godzilla

Godzilla, ATT:200, DEF:220, HP:34, LVL:10
[0] CaptainAmerica, ATT:90, DEF:150, HP:-11, LVL:5
[1] Superman, ATT:160, DEF:80, HP:-45, LVL:4
[2] Batman, ATT:130, DEF:100, HP:-15, LVL:0
